序号    类型   子类    总长度              点距                 夹角                半径
 410    0       0       2195.6491           1.9152             -3.5611             -31.8107 
 411    0       0       2197.6253           1.9762             -3.3454             -34.9362 
 412    0       0       2199.6634           2.0381             -4.6116             -40.0347 
 413    0       0       2203.989            4.3256             -5.4191             -47.9985 
 414    0       0       2208.6517           4.6627             -4.6599             -60.1846 
 415    0       0       2213.6943           5.0426             -3.9999             -75.6723 
 416    0      -1       2219.6599           5.9656              85.6388             0 
 417    0       0       2220.8274           1.1675              0                   0 
 418    0       0       2226.1663           5.3389              0                   0 
 419    0       0       2231.4996           5.3333              0                   0 
 420    0      -1       2237.3223           5.8227              90                  0 
 421    0       0       2243.7568           6.4345              0                   0 
 422    0       0       2249.6912           5.9345              0                   0 
 423    0       0       2255.6256           5.9344              0                   0 
 424    0       0       2261.56             5.9344              0                   0 
 425    0       0       2267.4944           5.9344              0                   0 
 426    0       0       2273.4287           5.9343              0                   0 
 427    0       0       2279.363            5.9343              0                   0 
 428    0       0       2285.2971           5.9342              0                   0 
 429    0       0       2291.2313           5.9341              0                   0 
 430    0       0       2297.1653           5.934               0                   0 
 431    0       0       2303.0992           5.9339              0                   0 
 432    0       0       2309.033            5.9338              0                   0 
 433    0       0       2314.9667           5.9337              0                   0 
 434    0       0       2320.9002           5.9336              0                   0 
 435    0       0       2326.8337           5.9334              0                   0 
 436    0       0       2332.767            5.9333              0                   0 
 437    0       0       2338.7001           5.9331              0                   0 
 438    0       0       2344.633            5.933               0                   0 
 439    0       0       2350.5658           5.9328              0                   0 
 440    0       0       2356.4984           5.9326              0                   0 
 441    0       0       2362.4308           5.9324              0                   0 
 442    0       0       2368.363            5.9322              0                   0 
 443    0       0       2374.295            5.932               0                   0 
 444    0       0       2380.2268           5.9318              0                   0 
 445    99999  -1       2386.1583           5.9315              90                  0 
