ÐòºÅ     x×ø±ê             y×ø±ê
N 347  G00X-2385.652   Y 539.132 
N 348  G00X-2384.737   Y 536.809 
N 349  G00X-2383.93    Y 534.43 
N 350  G00X-2383.23    Y 531.993 
N 351  G00X-2382.638   Y 529.5 
N 352  G00X-2382.154   Y 526.95 
N 353  G00X-2381.778   Y 524.342 
N 354  G00X-2381.509   Y 521.678 
N 355  G00X-2381.347   Y 518.956 
N 356  G00X-2381.293   Y 516.178 
N 357  G00X 999999     Y 999999 
N 358  G00X-2444.729   Y 649.511 
N 359  G00X-2444.771   Y 651.761 
N 360  G00X-2444.899   Y 653.95 
N 361  G00X-2445.111   Y 656.077 
N 362  G00X-2445.408   Y 658.143 
N 363  G00X-2445.791   Y 660.147 
N 364  G00X-2446.258   Y 662.09 
N 365  G00X-2446.81    Y 663.972 
N 366  G00X-2447.447   Y 665.792 
N 367  G00X-2448.169   Y 667.551 
N 368  G00X-2448.977   Y 669.248 
N 369  G00X-2449.869   Y 670.884 
N 370  G00X-2450.846   Y 672.459 
N 371  G00X-2451.908   Y 673.972 
N 372  G00X-2453.055   Y 675.424 
N 373  G00X-2454.287   Y 676.814 
N 374  G00X-2455.603   Y 678.143 
N 375  G00X-2457.005   Y 679.41 
N 376  G00X-2458.492   Y 680.617 
N 377  G00X-2460.064   Y 681.761 
N 378  G00X-2461.72    Y 682.845 
N 379  G00X-2461.72    Y 682.845 
N 380  G00X-2463.439   Y 683.871 
N 381  G00X-2465.198   Y 684.845 
N 382  G00X-2466.996   Y 685.766 
N 383  G00X-2468.834   Y 686.634 
N 384  G00X-2470.712   Y 687.45 
N 385  G00X-2472.629   Y 688.213 
N 386  G00X-2474.586   Y 688.924 
N 387  G00X-2476.582   Y 689.581 
N 388  G00X-2478.619   Y 690.187 
N 389  G00X-2480.694   Y 690.739 
N 390  G00X-2482.81    Y 691.239 
N 391  G00X-2484.965   Y 691.687 
N 392  G00X-2487.16    Y 692.081 
N 393  G00X-2489.394   Y 692.424 
N 394  G00X-2491.668   Y 692.713 
N 395  G00X-2493.982   Y 692.95 
N 396  G00X-2496.335   Y 693.134 
N 397  G00X-2498.728   Y 693.266 
N 398  G00X-2501.161   Y 693.345 
N 399  G00X-2503.633   Y 693.371 
N 400  G00X-2503.633   Y 693.371 
N 401  G00X-2571.6     Y 693.371 
N 402  G00X-2571.6     Y 693.371 
N 403  G00X-2571.6     Y 600.388 
N 404  G00X-2571.6     Y 600.388 
N 405  G00X-2505.899   Y 600.388 
N 406  G00X-2505.899   Y 600.388 
N 407  G00X-2503.424   Y 600.417 
N 408  G00X-2500.982   Y 600.502 
N 409  G00X-2498.575   Y 600.645 
N 410  G00X-2496.202   Y 600.844 
N 411  G00X-2493.863   Y 601.101 
N 412  G00X-2491.558   Y 601.415 
N 413  G00X-2489.287   Y 601.785 
N 414  G00X-2487.049   Y 602.213 
N 415  G00X-2484.846   Y 602.698 
N 416  G00X-2482.677   Y 603.239 
N 417  G00X-2480.541   Y 603.838 
N 418  G00X-2478.44    Y 604.494 
N 419  G00X-2476.373   Y 605.206 
N 420  G00X-2474.34    Y 605.976 
N 421  G00X-2472.34    Y 606.803 
N 422  G00X-2470.375   Y 607.687 
N 423  G00X-2468.443   Y 608.627 
N 424  G00X-2466.546   Y 609.625 
N 425  G00X-2464.683   Y 610.68 
N 426  G00X-2462.853   Y 611.792 
N 427  G00X-2462.853   Y 611.792 
N 428  G00X-2461.086   Y 612.97 
N 429  G00X-2459.41    Y 614.222 
N 430  G00X-2457.824   Y 615.548 
N 431  G00X-2456.328   Y 616.95 
N 432  G00X-2454.924   Y 618.426 
N 433  G00X-2453.61    Y 619.976 
N 434  G00X-2452.386   Y 621.601 
N 435  G00X-2451.254   Y 623.301 
N 436  G00X-2450.211   Y 625.075 
N 437  G00X-2449.26    Y 626.923 
N 438  G00X-2448.399   Y 628.847 
N 439  G00X-2447.629   Y 630.845 
N 440  G00X-2446.949   Y 632.917 
N 441  G00X-2446.36    Y 635.064 
N 442  G00X-2445.861   Y 637.285 
N 443  G00X-2445.454   Y 639.581 
N 444  G00X-2445.136   Y 641.952 
N 445  G00X-2444.91    Y 644.397 
N 446  G00X-2444.774   Y 646.917 
N 447  G00X-2444.729   Y 649.511 
N 448  G00X 999999     Y 999999 
N 449  G00X-2435.667   Y 516.178 
N 450  G00X-2435.726   Y 518.943 
N 451  G00X-2435.904   Y 521.625 
N 452  G00X-2436.202   Y 524.224 
N 453  G00X-2436.618   Y 526.739 
N 454  G00X-2437.153   Y 529.171 
N 455  G00X-2437.807   Y 531.52 
N 456  G00X-2438.581   Y 533.785 
N 457  G00X-2439.473   Y 535.967 
N 458  G00X-2440.484   Y 538.066 
