ÐòºÅ     x×ø±ê             y×ø±ê
N 1947 G00X-2057.983   Y 578.286 
N 1948 G00X-2058.601   Y 578.034 
N 1949 G00X-2059.216   Y 577.788 
N 1950 G00X-2059.826   Y 577.549 
N 1951 G00X-2060.432   Y 577.317 
N 1952 G00X-2061.034   Y 577.091 
N 1953 G00X-2061.631   Y 576.872 
N 1954 G00X-2062.221   Y 576.66 
N 1955 G00X-2062.807   Y 576.455 
N 1956 G00X-2063.385   Y 576.258 
N 1957 G00X-2063.385   Y 576.258 
N 1958 G00X-2062.086   Y 575.914 
N 1959 G00X-2060.794   Y 575.556 
N 1960 G00X-2059.51    Y 575.186 
N 1961 G00X-2058.236   Y 574.802 
N 1962 G00X-2056.971   Y 574.406 
N 1963 G00X-2055.716   Y 573.999 
N 1964 G00X-2054.472   Y 573.579 
N 1965 G00X-2053.239   Y 573.149 
N 1966 G00X-2052.018   Y 572.707 
N 1967 G00X-2050.81    Y 572.255 
N 1968 G00X-2049.615   Y 571.793 
N 1969 G00X-2048.434   Y 571.321 
N 1970 G00X-2047.267   Y 570.839 
N 1971 G00X-2046.115   Y 570.348 
N 1972 G00X-2044.979   Y 569.849 
N 1973 G00X-2043.859   Y 569.341 
N 1974 G00X-2042.755   Y 568.824 
N 1975 G00X-2041.669   Y 568.301 
N 1976 G00X-2040.601   Y 567.769 
N 1977 G00X-2039.551   Y 567.231 
N 1978 G00X-2039.551   Y 567.231 
N 1979 G00X-2038.458   Y 566.664 
N 1980 G00X-2037.374   Y 566.088 
N 1981 G00X-2036.3     Y 565.502 
N 1982 G00X-2035.235   Y 564.908 
N 1983 G00X-2034.181   Y 564.305 
N 1984 G00X-2033.139   Y 563.694 
N 1985 G00X-2032.107   Y 563.076 
N 1986 G00X-2031.087   Y 562.45 
N 1987 G00X-2030.08    Y 561.818 
N 1988 G00X-2029.086   Y 561.18 
N 1989 G00X-2028.105   Y 560.535 
N 1990 G00X-2027.138   Y 559.886 
N 1991 G00X-2026.185   Y 559.231 
N 1992 G00X-2025.247   Y 558.572 
N 1993 G00X-2024.324   Y 557.909 
N 1994 G00X-2023.417   Y 557.243 
N 1995 G00X-2022.527   Y 556.573 
N 1996 G00X-2021.653   Y 555.9 
N 1997 G00X-2020.796   Y 555.225 
N 1998 G00X-2019.957   Y 554.548 
N 1999 G00X-2019.957   Y 554.548 
N 2000 G00X-2019.256   Y 553.974 
N 2001 G00X-2018.566   Y 553.391 
N 2002 G00X-2017.887   Y 552.8 
N 2003 G00X-2017.221   Y 552.202 
N 2004 G00X-2016.566   Y 551.596 
N 2005 G00X-2015.924   Y 550.984 
N 2006 G00X-2015.294   Y 550.366 
N 2007 G00X-2014.677   Y 549.741 
N 2008 G00X-2014.073   Y 549.111 
N 2009 G00X-2013.481   Y 548.475 
N 2010 G00X-2012.903   Y 547.835 
N 2011 G00X-2012.339   Y 547.191 
N 2012 G00X-2011.788   Y 546.542 
N 2013 G00X-2011.251   Y 545.89 
N 2014 G00X-2010.728   Y 545.235 
N 2015 G00X-2010.219   Y 544.576 
N 2016 G00X-2009.724   Y 543.916 
N 2017 G00X-2009.245   Y 543.253 
N 2018 G00X-2008.78    Y 542.589 
N 2019 G00X-2008.33    Y 541.924 
N 2020 G00X-2008.33    Y 541.924 
N 2021 G00X-2007.736   Y 541.017 
N 2022 G00X-2007.162   Y 540.103 
N 2023 G00X-2006.61    Y 539.182 
N 2024 G00X-2006.078   Y 538.255 
N 2025 G00X-2005.567   Y 537.322 
N 2026 G00X-2005.077   Y 536.384 
N 2027 G00X-2004.607   Y 535.442 
N 2028 G00X-2004.159   Y 534.496 
N 2029 G00X-2003.731   Y 533.546 
N 2030 G00X-2003.323   Y 532.594 
N 2031 G00X-2002.937   Y 531.639 
N 2032 G00X-2002.572   Y 530.682 
N 2033 G00X-2002.227   Y 529.725 
N 2034 G00X-2001.903   Y 528.767 
N 2035 G00X-2001.6     Y 527.808 
N 2036 G00X-2001.318   Y 526.851 
N 2037 G00X-2001.057   Y 525.894 
N 2038 G00X-2000.817   Y 524.939 
N 2039 G00X-2000.597   Y 523.986 
N 2040 G00X-2000.399   Y 523.036 
N 2041 G00X-2000.399   Y 523.036 
N 2042 G00X-2000.254   Y 522.322 
N 2043 G00X-2000.117   Y 521.61 
N 2044 G00X-1999.988   Y 520.898 
N 2045 G00X-1999.867   Y 520.187 
N 2046 G00X-1999.755   Y 519.478 
N 2047 G00X-1999.65    Y 518.771 
N 2048 G00X-1999.553   Y 518.067 
N 2049 G00X-1999.465   Y 517.365 
N 2050 G00X-1999.384   Y 516.667 
N 2051 G00X-1999.311   Y 515.972 
N 2052 G00X-1999.246   Y 515.282 
N 2053 G00X-1999.189   Y 514.595 
N 2054 G00X-1999.139   Y 513.913 
N 2055 G00X-1999.098   Y 513.237 
N 2056 G00X-1999.064   Y 512.566 
N 2057 G00X-1999.038   Y 511.9 
N 2058 G00X-1999.02    Y 511.241 
N 2059 G00X-1999.009   Y 510.589 
N 2060 G00X-1999.007   Y 509.943 
N 2061 G00X-1999.011   Y 509.305 
N 2062 G00X 999999     Y 999999 
N 2063 G00X-1998.817   Y 52.211 
N 2064 G00X-1998.817   Y 50.648 
N 2065 G00X-1998.826   Y 49.088 
N 2066 G00X-1998.845   Y 47.532 
N 2067 G00X-1998.873   Y 45.981 
N 2068 G00X-1998.91    Y 44.436 
N 2069 G00X-1998.955   Y 42.898 
N 2070 G00X-1999.01    Y 41.367 
N 2071 G00X-1999.073   Y 39.846 
N 2072 G00X-1999.145   Y 38.334 
N 2073 G00X-1999.226   Y 36.832 
N 2074 G00X-1999.314   Y 35.342 
N 2075 G00X-1999.411   Y 33.865 
N 2076 G00X-1999.517   Y 32.4 
N 2077 G00X-1999.63    Y 30.95 
N 2078 G00X-1999.751   Y 29.516 
N 2079 G00X-1999.88    Y 28.097 
N 2080 G00X-2000.016   Y 26.696 
N 2081 G00X-2000.16    Y 25.313 
N 2082 G00X-2000.312   Y 23.948 
N 2083 G00X-2000.471   Y 22.604 
N 2084 G00X-2000.471   Y 22.604 
N 2085 G00X-2000.637   Y 21.207 
N 2086 G00X-2000.813   Y 19.815 
N 2087 G00X-2000.998   Y 18.427 
N 2088 G00X-2001.194   Y 17.046 
N 2089 G00X-2001.399   Y 15.672 
N 2090 G00X-2001.613   Y 14.305 
N 2091 G00X-2001.836   Y 12.947 
N 2092 G00X-2002.067   Y 11.597 
N 2093 G00X-2002.307   Y 10.258 
N 2094 G00X-2002.556   Y 8.929 
N 2095 G00X-2002.812   Y 7.611 
N 2096 G00X-2003.077   Y 6.306 
N 2097 G00X-2003.349   Y 5.013 
N 2098 G00X-2003.628   Y 3.734 
N 2099 G00X-2003.915   Y 2.47 
N 2100 G00X-2004.208   Y 1.221 
N 2101 G00X-2004.508   Y-.012 
N 2102 G00X-2004.815   Y-1.229 
N 2103 G00X-2005.128   Y-2.428 
N 2104 G00X-2005.447   Y-3.608 
N 2105 G00X-2005.447   Y-3.608 
N 2106 G00X-2005.783   Y-4.843 
N 2107 G00X-2006.13    Y-6.072 
N 2108 G00X-2006.486   Y-7.295 
N 2109 G00X-2006.852   Y-8.509 
N 2110 G00X-2007.228   Y-9.716 
N 2111 G00X-2007.612   Y-10.913 
N 2112 G00X-2008.006   Y-12.101 
N 2113 G00X-2008.408   Y-13.28 
N 2114 G00X-2008.817   Y-14.447 
N 2115 G00X-2009.235   Y-15.604 
N 2116 G00X-2009.661   Y-16.748 
N 2117 G00X-2010.093   Y-17.88 
N 2118 G00X-2010.532   Y-18.999 
N 2119 G00X-2010.978   Y-20.104 
N 2120 G00X-2011.43    Y-21.195 
N 2121 G00X-2011.888   Y-22.271 
N 2122 G00X-2012.351   Y-23.332 
N 2123 G00X-2012.82    Y-24.376 
N 2124 G00X-2013.294   Y-25.403 
N 2125 G00X-2013.772   Y-26.414 
N 2126 G00X-2013.772   Y-26.414 
N 2127 G00X-2014.368   Y-27.661 
N 2128 G00X-2014.976   Y-28.897 
N 2129 G00X-2015.598   Y-30.121 
N 2130 G00X-2016.233   Y-31.332 
N 2131 G00X-2016.879   Y-32.53 
N 2132 G00X-2017.537   Y-33.715 
N 2133 G00X-2018.206   Y-34.886 
N 2134 G00X-2018.885   Y-36.042 
N 2135 G00X-2019.575   Y-37.184 
N 2136 G00X-2020.274   Y-38.309 
N 2137 G00X-2020.982   Y-39.419 
N 2138 G00X-2021.699   Y-40.512 
N 2139 G00X-2022.424   Y-41.588 
N 2140 G00X-2023.157   Y-42.647 
N 2141 G00X-2023.897   Y-43.687 
N 2142 G00X-2024.643   Y-44.709 
N 2143 G00X-2025.396   Y-45.712 
N 2144 G00X-2026.155   Y-46.696 
N 2145 G00X-2026.918   Y-47.659 
N 2146 G00X-2027.687   Y-48.602 
N 2147 G00X-2027.687   Y-48.602 
N 2148 G00X-2028.542   Y-49.636 
N 2149 G00X-2029.407   Y-50.654 
N 2150 G00X-2030.283   Y-51.658 
N 2151 G00X-2031.167   Y-52.646 
N 2152 G00X-2032.061   Y-53.618 
N 2153 G00X-2032.963   Y-54.574 
N 2154 G00X-2033.873   Y-55.514 
N 2155 G00X-2034.789   Y-56.437 
N 2156 G00X-2035.713   Y-57.342 
N 2157 G00X-2036.642   Y-58.231 
N 2158 G00X-2037.576   Y-59.101 
N 2159 G00X-2038.516   Y-59.953 
N 2160 G00X-2039.459   Y-60.787 
N 2161 G00X-2040.407   Y-61.601 
N 2162 G00X-2041.357   Y-62.397 
N 2163 G00X-2042.31    Y-63.173 
N 2164 G00X-2043.265   Y-63.929 
N 2165 G00X-2044.221   Y-64.665 
N 2166 G00X-2045.178   Y-65.38 
N 2167 G00X-2046.135   Y-66.075 
N 2168 G00X-2046.135   Y-66.075 
N 2169 G00X-2047.572   Y-67.121 
N 2170 G00X-2049.017   Y-68.147 
N 2171 G00X-2050.468   Y-69.152 
N 2172 G00X-2051.926   Y-70.137 
N 2173 G00X-2053.389   Y-71.101 
N 2174 G00X-2054.856   Y-72.043 
N 2175 G00X-2056.327   Y-72.963 
N 2176 G00X-2057.8     Y-73.862 
N 2177 G00X-2059.275   Y-74.738 
N 2178 G00X-2060.75    Y-75.592 
N 2179 G00X-2062.226   Y-76.423 
N 2180 G00X-2063.701   Y-77.231 
N 2181 G00X-2065.174   Y-78.015 
N 2182 G00X-2066.644   Y-78.776 
N 2183 G00X-2068.111   Y-79.513 
N 2184 G00X-2069.574   Y-80.225 
N 2185 G00X-2071.032   Y-80.913 
N 2186 G00X-2072.483   Y-81.576 
N 2187 G00X-2073.928   Y-82.213 
N 2188 G00X-2075.365   Y-82.825 
N 2189 G00X-2075.365   Y-82.825 
N 2190 G00X-2076.825   Y-83.445 
N 2191 G00X-2078.286   Y-84.05 
N 2192 G00X-2079.748   Y-84.641 
N 2193 G00X-2081.211   Y-85.218 
N 2194 G00X-2082.672   Y-85.779 
N 2195 G00X-2084.132   Y-86.326 
N 2196 G00X-2085.589   Y-86.857 
N 2197 G00X-2087.042   Y-87.373 
N 2198 G00X-2088.491   Y-87.874 
N 2199 G00X-2089.936   Y-88.359 
N 2200 G00X-2091.374   Y-88.828 
N 2201 G00X-2092.805   Y-89.281 
N 2202 G00X-2094.228   Y-89.718 
N 2203 G00X-2095.643   Y-90.139 
N 2204 G00X-2097.049   Y-90.543 
N 2205 G00X-2098.444   Y-90.931 
N 2206 G00X-2099.828   Y-91.301 
N 2207 G00X-2101.201   Y-91.655 
N 2208 G00X-2102.56    Y-91.991 
N 2209 G00X-2103.906   Y-92.31 
N 2210 G00X-2103.906   Y-92.31 
N 2211 G00X-2105.504   Y-92.689 
N 2212 G00X-2107.101   Y-93.055 
N 2213 G00X-2108.697   Y-93.41 
N 2214 G00X-2110.29    Y-93.752 
N 2215 G00X-2111.879   Y-94.082 
N 2216 G00X-2113.464   Y-94.399 
N 2217 G00X-2115.043   Y-94.704 
N 2218 G00X-2116.615   Y-94.996 
N 2219 G00X-2118.18    Y-95.276 
N 2220 G00X-2119.737   Y-95.542 
N 2221 G00X-2121.284   Y-95.796 
N 2222 G00X-2122.821   Y-96.037 
N 2223 G00X-2124.346   Y-96.265 
N 2224 G00X-2125.859   Y-96.481 
N 2225 G00X-2127.36    Y-96.682 
N 2226 G00X-2128.846   Y-96.871 
N 2227 G00X-2130.317   Y-97.047 
N 2228 G00X-2131.772   Y-97.209 
N 2229 G00X-2133.21    Y-97.357 
N 2230 G00X-2134.63    Y-97.492 
N 2231 G00X-2134.63    Y-97.492 
N 2232 G00X-2136.169   Y-97.641 
N 2233 G00X-2137.707   Y-97.782 
N 2234 G00X-2139.242   Y-97.914 
N 2235 G00X-2140.772   Y-98.039 
N 2236 G00X-2142.298   Y-98.155 
N 2237 G00X-2143.818   Y-98.262 
N 2238 G00X-2145.331   Y-98.362 
N 2239 G00X-2146.836   Y-98.453 
N 2240 G00X-2148.333   Y-98.537 
N 2241 G00X-2149.819   Y-98.612 
N 2242 G00X-2151.295   Y-98.679 
N 2243 G00X-2152.76    Y-98.737 
N 2244 G00X-2154.212   Y-98.788 
N 2245 G00X-2155.65    Y-98.83 
N 2246 G00X-2157.074   Y-98.864 
N 2247 G00X-2158.482   Y-98.891 
N 2248 G00X-2159.874   Y-98.908 
N 2249 G00X-2161.248   Y-98.918 
N 2250 G00X-2162.604   Y-98.92 
N 2251 G00X-2163.941   Y-98.914 
N 2252 G00X-2163.941   Y-98.914 
N 2253 G00X-2242.966   Y-98.914 
N 2254 G00X-2242.966   Y-98.914 
N 2255 G00X-2242.966   Y 205.087 
N 2256 G00X-2242.966   Y 205.087 
N 2257 G00X-2163.942   Y 205.087 
N 2258 G00X-2163.942   Y 205.087 
N 2259 G00X-2162.149   Y 205.087 
N 2260 G00X-2160.359   Y 205.078 
N 2261 G00X-2158.573   Y 205.06 
N 2262 G00X-2156.793   Y 205.033 
N 2263 G00X-2155.019   Y 204.998 
N 2264 G00X-2153.253   Y 204.953 
N 2265 G00X-2151.496   Y 204.9 
N 2266 G00X-2149.748   Y 204.838 
N 2267 G00X-2148.012   Y 204.768 
N 2268 G00X-2146.288   Y 204.69 
N 2269 G00X-2144.577   Y 204.604 
N 2270 G00X-2142.88    Y 204.509 
N 2271 G00X-2141.199   Y 204.407 
N 2272 G00X-2139.534   Y 204.297 
N 2273 G00X-2137.887   Y 204.179 
N 2274 G00X-2136.259   Y 204.053 
N 2275 G00X-2134.651   Y 203.92 
N 2276 G00X-2133.064   Y 203.78 
N 2277 G00X-2131.498   Y 203.632 
N 2278 G00X-2129.956   Y 203.478 
N 2279 G00X-2129.956   Y 203.478 
N 2280 G00X-2128.436   Y 203.324 
N 2281 G00X-2126.92    Y 203.162 
N 2282 G00X-2125.408   Y 202.992 
N 2283 G00X-2123.902   Y 202.812 
N 2284 G00X-2122.403   Y 202.625 
N 2285 G00X-2120.912   Y 202.429 
N 2286 G00X-2119.428   Y 202.225 
N 2287 G00X-2117.955   Y 202.014 
N 2288 G00X-2116.491   Y 201.795 
N 2289 G00X-2115.039   Y 201.568 
N 2290 G00X-2113.598   Y 201.335 
N 2291 G00X-2112.171   Y 201.095 
N 2292 G00X-2110.757   Y 200.848 
N 2293 G00X-2109.358   Y 200.594 
N 2294 G00X-2107.975   Y 200.335 
N 2295 G00X-2106.608   Y 200.069 
N 2296 G00X-2105.258   Y 199.797 
N 2297 G00X-2103.927   Y 199.52 
N 2298 G00X-2102.615   Y 199.237 
N 2299 G00X-2101.323   Y 198.949 
N 2300 G00X-2101.323   Y 198.949 
N 2301 G00X-2099.979   Y 198.648 
N 2302 G00X-2098.64    Y 198.338 
N 2303 G00X-2097.307   Y 198.019 
N 2304 G00X-2095.981   Y 197.691 
N 2305 G00X-2094.663   Y 197.354 
N 2306 G00X-2093.352   Y 197.009 
N 2307 G00X-2092.051   Y 196.656 
N 2308 G00X-2090.76    Y 196.296 
N 2309 G00X-2089.479   Y 195.928 
N 2310 G00X-2088.209   Y 195.553 
N 2311 G00X-2086.951   Y 195.171 
N 2312 G00X-2085.706   Y 194.783 
N 2313 G00X-2084.474   Y 194.388 
N 2314 G00X-2083.257   Y 193.988 
N 2315 G00X-2082.054   Y 193.582 
N 2316 G00X-2080.866   Y 193.17 
N 2317 G00X-2079.695   Y 192.754 
N 2318 G00X-2078.541   Y 192.333 
N 2319 G00X-2077.405   Y 191.907 
N 2320 G00X-2076.287   Y 191.477 
N 2321 G00X-2076.287   Y 191.477 
N 2322 G00X-2075.085   Y 191.013 
N 2323 G00X-2073.891   Y 190.54 
N 2324 G00X-2072.706   Y 190.056 
N 2325 G00X-2071.529   Y 189.563 
N 2326 G00X-2070.361   Y 189.061 
N 2327 G00X-2069.203   Y 188.551 
N 2328 G00X-2068.056   Y 188.033 
N 2329 G00X-2066.92    Y 187.507 
N 2330 G00X-2065.795   Y 186.973 
N 2331 G00X-2064.683   Y 186.433 
N 2332 G00X-2063.583   Y 185.886 
N 2333 G00X-2062.497   Y 185.333 
N 2334 G00X-2061.424   Y 184.774 
N 2335 G00X-2060.366   Y 184.21 
N 2336 G00X-2059.324   Y 183.64 
N 2337 G00X-2058.297   Y 183.066 
N 2338 G00X-2057.286   Y 182.488 
N 2339 G00X-2056.291   Y 181.906 
N 2340 G00X-2055.315   Y 181.32 
N 2341 G00X-2054.356   Y 180.731 
N 2342 G00X-2054.356   Y 180.731 
N 2343 G00X-2053.331   Y 180.098 
N 2344 G00X-2052.316   Y 179.455 
N 2345 G00X-2051.312   Y 178.804 
N 2346 G00X-2050.318   Y 178.144 
N 2347 G00X-2049.336   Y 177.476 
N 2348 G00X-2048.365   Y 176.801 
N 2349 G00X-2047.407   Y 176.118 
N 2350 G00X-2046.461   Y 175.43 
N 2351 G00X-2045.528   Y 174.735 
N 2352 G00X-2044.608   Y 174.034 
N 2353 G00X-2043.702   Y 173.329 
N 2354 G00X-2042.811   Y 172.619 
N 2355 G00X-2041.934   Y 171.904 
N 2356 G00X-2041.072   Y 171.186 
N 2357 G00X-2040.226   Y 170.464 
N 2358 G00X-2039.395   Y 169.74 
N 2359 G00X-2038.581   Y 169.013 
N 2360 G00X-2037.784   Y 168.284 
N 2361 G00X-2037.003   Y 167.554 
N 2362 G00X-2036.241   Y 166.823 
N 2363 G00X-2036.241   Y 166.823 
N 2364 G00X-2035.248   Y 165.849 
N 2365 G00X-2034.272   Y 164.866 
N 2366 G00X-2033.312   Y 163.873 
N 2367 G00X-2032.37    Y 162.871 
N 2368 G00X-2031.445   Y 161.862 
N 2369 G00X-2030.539   Y 160.845 
N 2370 G00X-2029.65    Y 159.821 
N 2371 G00X-2028.78    Y 158.791 
N 2372 G00X-2027.928   Y 157.755 
N 2373 G00X-2027.096   Y 156.715 
N 2374 G00X-2026.282   Y 155.67 
N 2375 G00X-2025.489   Y 154.622 
N 2376 G00X-2024.715   Y 153.57 
N 2377 G00X-2023.961   Y 152.516 
N 2378 G00X-2023.228   Y 151.461 
N 2379 G00X-2022.516   Y 150.404 
N 2380 G00X-2021.824   Y 149.346 
N 2381 G00X-2021.154   Y 148.289 
N 2382 G00X-2020.506   Y 147.232 
N 2383 G00X-2019.879   Y 146.177 
N 2384 G00X-2019.879   Y 146.177 
N 2385 G00X-2019.256   Y 145.121 
N 2386 G00X-2018.645   Y 144.062 
N 2387 G00X-2018.046   Y 143.001 
N 2388 G00X-2017.459   Y 141.937 
N 2389 G00X-2016.885   Y 140.872 
N 2390 G00X-2016.323   Y 139.807 
N 2391 G00X-2015.775   Y 138.742 
N 2392 G00X-2015.239   Y 137.677 
N 2393 G00X-2014.717   Y 136.614 
N 2394 G00X-2014.209   Y 135.552 
N 2395 G00X-2013.714   Y 134.493 
N 2396 G00X-2013.233   Y 133.437 
N 2397 G00X-2012.766   Y 132.384 
N 2398 G00X-2012.313   Y 131.337 
N 2399 G00X-2011.875   Y 130.294 
N 2400 G00X-2011.452   Y 129.256 
N 2401 G00X-2011.043   Y 128.225 
N 2402 G00X-2010.65    Y 127.201 
N 2403 G00X-2010.271   Y 126.184 
N 2404 G00X-2009.909   Y 125.176 
N 2405 G00X-2009.909   Y 125.176 
N 2406 G00X-2009.48    Y 123.982 
N 2407 G00X-2009.061   Y 122.788 
N 2408 G00X-2008.653   Y 121.594 
N 2409 G00X-2008.255   Y 120.402 
N 2410 G00X-2007.867   Y 119.21 
N 2411 G00X-2007.49    Y 118.022 
N 2412 G00X-2007.124   Y 116.836 
N 2413 G00X-2006.769   Y 115.654 
N 2414 G00X-2006.425   Y 114.476 
N 2415 G00X-2006.092   Y 113.304 
N 2416 G00X-2005.77    Y 112.137 
N 2417 G00X-2005.459   Y 110.977 
N 2418 G00X-2005.16    Y 109.825 
N 2419 G00X-2004.873   Y 108.68 
N 2420 G00X-2004.597   Y 107.544 
N 2421 G00X-2004.334   Y 106.417 
N 2422 G00X-2004.082   Y 105.301 
N 2423 G00X-2003.843   Y 104.195 
N 2424 G00X-2003.615   Y 103.101 
N 2425 G00X-2003.401   Y 102.02 
N 2426 G00X-2003.401   Y 102.02 
N 2427 G00X-2003.119   Y 100.606 
N 2428 G00X-2002.848   Y 99.193 
N 2429 G00X-2002.586   Y 97.782 
N 2430 G00X-2002.334   Y 96.374 
N 2431 G00X-2002.092   Y 94.97 
N 2432 G00X-2001.859   Y 93.57 
N 2433 G00X-2001.637   Y 92.176 
N 2434 G00X-2001.424   Y 90.788 
N 2435 G00X-2001.221   Y 89.407 
N 2436 G00X-2001.029   Y 88.033 
N 2437 G00X-2000.846   Y 86.669 
N 2438 G00X-2000.674   Y 85.315 
N 2439 G00X-2000.511   Y 83.971 
N 2440 G00X-2000.359   Y 82.638 
N 2441 G00X-2000.218   Y 81.317 
N 2442 G00X-2000.086   Y 80.01 
N 2443 G00X-1999.966   Y 78.716 
N 2444 G00X-1999.855   Y 77.438 
N 2445 G00X-1999.755   Y 76.175 
N 2446 G00X-1999.666   Y 74.928 
N 2447 G00X-1999.666   Y 74.928 
N 2448 G00X-1999.577   Y 73.733 
N 2449 G00X-1999.493   Y 72.54 
N 2450 G00X-1999.414   Y 71.349 
N 2451 G00X-1999.34    Y 70.161 
N 2452 G00X-1999.27    Y 68.977 
N 2453 G00X-1999.206   Y 67.797 
N 2454 G00X-1999.146   Y 66.623 
N 2455 G00X-1999.092   Y 65.456 
N 2456 G00X-1999.042   Y 64.295 
N 2457 G00X-1998.997   Y 63.142 
N 2458 G00X-1998.957   Y 61.997 
N 2459 G00X-1998.922   Y 60.862 
N 2460 G00X-1998.892   Y 59.737 
N 2461 G00X-1998.866   Y 58.623 
N 2462 G00X-1998.846   Y 57.521 
N 2463 G00X-1998.83    Y 56.431 
N 2464 G00X-1998.82    Y 55.354 
N 2465 G00X-1998.814   Y 54.291 
N 2466 G00X-1998.813   Y 53.243 
N 2467 G00X-1998.817   Y 52.211 
N 2468 G00X 0          Y 0 
